VectorData,Payload
"Título: Tacos de Pescado. Ingredientes: Pescado blanco, Tortillas de maíz, Col, Salsa de crema, Limón, Cilantro, Aguacate. Tiempo de Preparación: 30 minutos. Descripción: Deliciosa receta de tacos de pescado al estilo Baja California, frescos y saludables.","{""text"": ""T\u00edtulo: Tacos de Pescado. Ingredientes: Pescado blanco, Tortillas de ma\u00edz, Col, Salsa de crema, Lim\u00f3n, Cilantro, Aguacate. Tiempo de Preparaci\u00f3n: 30 minutos. Descripci\u00f3n: Deliciosa receta de tacos de pescado al estilo Baja California, frescos y saludables."", ""year"": 2024, ""chunk"": ""Receta""}"
"Título: Sopa de Miso. Ingredientes: Miso, Tofu, Algas wakame, Cebolla verde, Agua. Tiempo de Preparación: 20 minutos. Descripción: Sopa tradicional japonesa, ligera y nutritiva, ideal como entrada.","{""text"": ""T\u00edtulo: Sopa de Miso. Ingredientes: Miso, Tofu, Algas wakame, Cebolla verde, Agua. Tiempo de Preparaci\u00f3n: 20 minutos. Descripci\u00f3n: Sopa tradicional japonesa, ligera y nutritiva, ideal como entrada."", ""year"": 2024, ""chunk"": ""Receta""}"
Título: Inteligencia Artificial en el Futuro. Autor: Jorge López. Año: 2022. Género: Tecnología. Resumen: Este libro explora las posibles aplicaciones futuras de la inteligencia artificial en diversas industrias.,"{""text"": ""T\u00edtulo: Inteligencia Artificial en el Futuro. Autor: Jorge L\u00f3pez. A\u00f1o: 2022. G\u00e9nero: Tecnolog\u00eda. Resumen: Este libro explora las posibles aplicaciones futuras de la inteligencia artificial en diversas industrias."", ""year"": 2022, ""chunk"": ""Libros""}"
Título: Cocina Vegana para Todos. Autor: Ana Rodríguez. Año: 2021. Género: Cocina. Resumen: Recetas fáciles y deliciosas para una dieta vegana saludable.,"{""text"": ""T\u00edtulo: Cocina Vegana para Todos. Autor: Ana Rodr\u00edguez. A\u00f1o: 2021. G\u00e9nero: Cocina. Resumen: Recetas f\u00e1ciles y deliciosas para una dieta vegana saludable."", ""year"": 2021}"
Título: La Revolución del Big Data. Autor: Daniel Gómez. Año: 2019. Género: Tecnología. Resumen: Un análisis profundo sobre cómo el big data está transformando la toma de decisiones en empresas y gobiernos.,"{""text"": ""T\u00edtulo: La Revoluci\u00f3n del Big Data. Autor: Daniel G\u00f3mez. A\u00f1o: 2019. G\u00e9nero: Tecnolog\u00eda. Resumen: Un an\u00e1lisis profundo sobre c\u00f3mo el big data est\u00e1 transformando la toma de decisiones en empresas y gobiernos."", ""year"": 2019, ""chunk"": ""Libros""}"
Título: Energías Renovables. Autor: Laura Medina. Año: 2018. Género: Ciencia. Resumen: Una guía sobre las diferentes fuentes de energía renovable y su impacto en el medio ambiente.,"{""text"": ""T\u00edtulo: Energ\u00edas Renovables. Autor: Laura Medina. A\u00f1o: 2018. G\u00e9nero: Ciencia. Resumen: Una gu\u00eda sobre las diferentes fuentes de energ\u00eda renovable y su impacto en el medio ambiente."", ""year"": 2018, ""chunk"": ""Libros""}"
Título: Viaje al Centro de la Tierra. Autor: Julio Verne. Año: 1864. Género: Aventura. Resumen: Las increíbles aventuras de un grupo de exploradores que viajan al centro de la Tierra.,"{""text"": ""T\u00edtulo: Viaje al Centro de la Tierra. Autor: Julio Verne. A\u00f1o: 1864. G\u00e9nero: Aventura. Resumen: Las incre\u00edbles aventuras de un grupo de exploradores que viajan al centro de la Tierra."", ""year"": 1864, ""chunk"": ""Libros""}"
Título: La Vida Secreta de las Abejas. Autor: Sue Monk Kidd. Año: 2002. Género: Ficción. Resumen: La historia de una joven que encuentra consuelo y respuestas en una comunidad de apicultoras.,"{""text"": ""T\u00edtulo: La Vida Secreta de las Abejas. Autor: Sue Monk Kidd. A\u00f1o: 2002. G\u00e9nero: Ficci\u00f3n. Resumen: La historia de una joven que encuentra consuelo y respuestas en una comunidad de apicultoras."", ""year"": 2002, ""chunk"": ""Libros""}"
Título: El Misterio de la Isla de Tökland. Autor: Joan Manuel Gisbert. Año: 1981. Género: Misterio. Resumen: Una emocionante aventura en una isla llena de enigmas por resolver.,"{""text"": ""T\u00edtulo: El Misterio de la Isla de T\u00f6kland. Autor: Joan Manuel Gisbert. A\u00f1o: 1981. G\u00e9nero: Misterio. Resumen: Una emocionante aventura en una isla llena de enigmas por resolver."", ""year"": 1981, ""chunk"": ""Libros""}"
Título: La Magia del Orden. Autor: Marie Kondo. Año: 2014. Género: Autoayuda. Resumen: Consejos prácticos para organizar tu hogar y tu vida de manera efectiva.,"{""text"": ""T\u00edtulo: La Magia del Orden. Autor: Marie Kondo. A\u00f1o: 2014. G\u00e9nero: Autoayuda. Resumen: Consejos pr\u00e1cticos para organizar tu hogar y tu vida de manera efectiva."", ""year"": 2014, ""chunk"": ""Libros""}"
Título: La Breve Historia del Tiempo. Autor: Stephen Hawking. Año: 1988. Género: Ciencia. Resumen: Una introducción accesible a los conceptos más importantes de la cosmología.,"{""text"": ""T\u00edtulo: La Breve Historia del Tiempo. Autor: Stephen Hawking. A\u00f1o: 1988. G\u00e9nero: Ciencia. Resumen: Una introducci\u00f3n accesible a los conceptos m\u00e1s importantes de la cosmolog\u00eda."", ""year"": 1988, ""chunk"": ""Libros""}"
Título: El Arte de la Guerra. Autor: Sun Tzu. Año: Antigüedad. Género: Filosofía. Resumen: Estrategias y tácticas militares que han influido en la guerra y el pensamiento estratégico.,"{""text"": ""T\u00edtulo: El Arte de la Guerra. Autor: Sun Tzu. A\u00f1o: Antig\u00fcedad. G\u00e9nero: Filosof\u00eda. Resumen: Estrategias y t\u00e1cticas militares que han influido en la guerra y el pensamiento estrat\u00e9gico."", ""year"": -500, ""chunk"": ""Libros""}"
